,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,food_map_cpu,food_map_rx,food_map_tx,label,class
886,0.0310718318680948,0.0,0.0,0.0905378652565264,0.0,0.0,0.0030211984020161,0.0,0.0,0.2669969701258897,0.8208955223880597,1.0,0.0009424682835609,0.0,0.0,6.975776913592957e-06,0.0,0.0,1,1
887,0.0689257519553108,0.0,0.0,0.0905378652565264,0.0,0.0,0.0032505884209951,0.0,0.0,0.0267846757319976,0.0,0.0,0.0047976712088618,0.0,0.0,3.2045176970753306e-06,0.0,0.0,1,1
888,0.1570825437613391,0.0,0.0,0.0588135596948606,0.4268292682926829,0.37109375,0.0032505884209951,0.0,0.0,0.2323271941712061,0.0,0.0,0.0047976712088618,0.0,0.0,3.2045176970753306e-06,0.0,0.0,1,1
889,0.1570825437613391,0.0,0.0,0.0588135596948606,0.4268292682926829,0.37109375,0.0019872410968231,0.0,0.0,0.2323271941712061,0.0,0.0,0.0033029578535878,0.0794797687861271,0.0405117270788912,3.720278065575826e-06,0.0365483197265995,0.0153771447070249,1,1
890,0.0329433066730814,0.1225334182049649,0.2056277056277056,0.0758996682885625,0.0,0.0,0.0038748221867316,0.0,0.0,0.0218583274590399,0.0,0.0,0.0052875438908446,0.0,0.0,9.388740817894844e-06,0.0,0.0,1,1
891,0.1886655562874889,0.0,0.0,0.0968940547103903,0.0,0.0,0.0035584179490929,0.0,0.0,0.2281400959413421,0.0,0.0,0.0052875438908446,0.0,0.0,9.388740817894844e-06,0.0,0.0,1,1
892,0.1886655562874889,0.0,0.0,0.0968940547103903,0.0,0.0,0.0072532577458862,0.237215033887862,0.0972862263184843,0.1941969572328084,0.0,0.0,0.001720676360627,0.0,0.0,1.090520467474483e-06,0.0,0.0,1,1
893,0.0559226727904795,0.0,0.0,0.0263016594370584,0.0,0.0,0.0072532577458862,0.237215033887862,0.0972862263184843,0.1941969572328084,0.0,0.0,0.001720676360627,0.0,0.0,9.816347602232588e-06,0.0,0.0,1,1
894,0.0559226727904795,0.0,0.0,0.1871120867904938,0.0,0.0,0.0022356634087893,0.0,0.0,0.0972427374814486,0.4104477611940298,0.5,0.0032541972897276,0.0,0.0,9.816347602232588e-06,0.0,0.0,1,1
895,0.059409666989797,0.0,0.0,0.1871120867904938,0.0,0.0,0.0022356634087893,0.0,0.0,0.0972427374814486,0.4104477611940298,0.5,0.0057934484914208,0.0,0.0,3.284906655135737e-06,0.0,0.0,1,1
896,0.1092669399866871,0.0,0.0,0.0225897028675001,0.0,0.0,0.0023243620362668,0.0,0.0,0.0523756903754549,0.0,0.0,0.0022519823692131,0.0,0.0,5.893109955921088e-06,0.0,0.0,1,1
897,0.1092669399866871,0.0,0.0,0.0776061784554741,0.0,0.0,0.005865996963362,0.0,0.0,0.2179013076667587,0.0,0.0,0.0062139419934766,0.0,0.0,5.893109955921088e-06,0.0,0.0,1,1
898,0.0653484830260938,0.0,0.0,0.0776061784554741,0.0,0.0,0.005865996963362,0.0,0.0,0.2179013076667587,0.0,0.0,0.0062139419934766,0.0,0.0,4.569663403047757e-06,0.0365483197265995,0.0153771447070249,1,1
899,0.0653484830260938,0.0,0.0,0.0811555788232602,0.4268292682926829,0.37109375,0.0014954293439506,0.0,0.0,0.034113061111804,0.0,0.0,0.0025572823273188,0.0794797687861271,0.0405117270788912,4.569663403047757e-06,0.0365483197265995,0.0153771447070249,1,1
900,0.0760804889491782,0.1225334182049649,0.2056277056277056,0.1025010338486445,0.0,0.0,0.0051702089003815,0.0,0.0,0.1837041612419961,0.0,0.0,0.0057514842749118,0.0,0.0,3.713713369427157e-06,0.0,0.0,1,1
901,0.1384860821590317,0.0,0.0,0.1025010338486445,0.0,0.0,0.0051702089003815,0.0,0.0,0.1837041612419961,0.0,0.0,0.0029141025202357,0.0,0.0,6.016836066699892e-06,0.0,0.0,1,1
902,0.0746557413002375,0.0,0.0,0.0441694235963854,0.0,0.0,0.0034435168412435,0.118607516943931,0.0486431131592421,0.0258276797638884,0.0,0.0,0.0029141025202357,0.0,0.0,6.016836066699892e-06,0.0,0.0,1,1
1016,0.1286511149858441,0.4382558879694462,0.3571428571428571,0.2217081819221666,0.8536585365853658,0.7421875,0.0362940229531692,0.7627849661121381,0.901689708141321,0.2120622833927302,0.0,0.0,0.0073706984872574,0.0,0.0,1.803221085551509e-05,0.0125308524776912,0.011492392359987,0,2
1102,0.2208280529254189,0.0,0.0,0.1481353329872506,0.0,0.0,0.0087097370442423,0.0,0.0,0.3725650294789092,0.8208955223880597,1.0,0.6111319683353538,0.7014863748967795,0.3863539445628998,1.2269055218227582e-05,0.0666413518131763,0.1020556814503075,0,1
1103,0.2208280529254189,0.0,0.0,0.2478392563328728,0.0,0.0,0.0087097370442423,0.0,0.0,0.3725650294789092,0.8208955223880597,1.0,0.6111319683353538,0.7014863748967795,0.3863539445628998,1.2269055218227582e-05,0.0666413518131763,0.1020556814503075,0,1
1128,0.222152170801913,0.8765117759388924,0.7142857142857143,0.2256524244850553,0.0,0.0,0.0389035335202494,0.7627849661121381,0.9027137736815156,0.3859373970830805,0.0,0.0,0.0077964530604506,0.0794797687861271,0.0405117270788912,1.7891711120727782e-05,0.0730966394531991,0.0200712204596956,0,2
1178,0.0765901429022422,0.0,0.0,0.1747421977422505,0.0,0.0,0.0171291247546144,0.0,0.0,0.1570543723662027,0.0,0.0,0.0117597901287937,0.0,0.0,1.175067278056906e-05,0.0,0.0,2,2
1179,0.0765901429022422,0.0,0.0,0.1747421977422505,0.0,0.0,0.0048215413639357,0.0,0.0,0.3860270880835695,0.0,0.0,0.0064184541769647,0.0,0.0,1.175067278056906e-05,0.0,0.0,2,2
